plotcode,Plant_SR,Grasses,Short.Herbs,Tall.Herbs,Legumes
B1A01,16,1,1,1,1
B1A02,8,1,0,1,0
B1A03,8,1,1,0,1
B1A04,4,1,1,1,1
B1A05,2,0,0,0,1
B1A06,16,1,0,1,0
B1A07,2,0,0,1,0
B1A08,1,0,0,0,1
B1A11,16,0,0,1,0
B1A12,8,0,0,0,1
B1A13,4,0,0,0,1
B1A14,8,1,1,1,1
B1A15,1,0,0,1,0
B1A16,2,1,1,0,0
B1A17,2,1,0,1,0
B1A18,1,0,1,0,0
B1A19,4,1,1,1,0
B1A20,16,0,1,1,1
B1A21,4,1,0,1,0
B1A22,60,1,1,1,1
B2A01,4,1,1,1,1
B2A02,2,1,0,0,0
B2A03,60,1,1,1,1
B2A04,1,0,0,1,0
B2A05,1,1,0,0,0
B2A06,4,0,1,0,1
B2A08,2,0,0,1,1
B2A09,4,0,1,0,0
B2A10,16,1,1,0,0
B2A12,8,0,0,1,0
B2A13,1,0,1,0,0
B2A14,8,1,1,1,1
B2A15,1,0,0,0,1
B2A16,4,0,1,1,1
B2A17,8,0,1,0,1
B2A18,16,1,1,1,1
B2A19,2,0,1,0,0
B2A20,2,0,1,0,1
B2A21,8,0,1,1,1
B2A22,16,1,0,1,1
B3A01,1,0,0,1,0
B3A02,2,1,0,1,0
B3A03,4,1,1,0,1
B3A04,8,1,0,0,0
B3A05,8,1,0,1,1
B3A06,1,1,0,0,0
B3A07,8,1,1,1,1
B3A08,2,1,0,0,0
B3A09,16,1,0,0,0
B3A11,4,1,1,0,0
B3A12,1,0,0,0,1
B3A13,4,1,0,0,0
B3A14,60,1,1,1,1
B3A16,16,0,1,0,1
B3A17,1,0,1,0,0
B3A19,2,1,1,0,0
B3A20,8,0,0,1,1
B3A21,2,0,0,0,1
B3A22,16,1,1,1,1
B3A23,4,1,1,1,1
B3A24,16,1,1,0,1
B4A01,60,1,1,1,1
B4A02,16,1,1,1,0
B4A04,4,1,1,1,1
B4A06,8,0,1,0,0
B4A07,4,0,0,1,1
B4A08,8,1,1,0,0
B4A09,1,0,0,0,1
B4A10,8,1,1,1,0
B4A11,4,1,0,1,1
B4A12,1,1,0,0,0
B4A13,1,0,0,1,0
B4A14,2,0,1,0,0
B4A15,2,0,1,0,1
B4A16,8,1,1,1,1
B4A17,2,0,0,1,0
B4A18,16,1,1,1,1
B4A20,16,0,0,1,1
B4A21,2,0,0,1,1
B4A22,4,0,0,1,0
